name,latitude,longitude,kategori,kecamatan,kelurahan
Pondok Pesantren Darul Hijrah,-7.283710533,112.802183,pendidikan,Mulyorejo,Kejawen Putih Tambak
SMP negeri 12 Surabaya,-7.297494762,112.7443311,pendidikan,Wonokromo,Ngagelrejo
SMP Ipiems,-7.286075022,112.7642488,pendidikan,Mulyorejo,Manyar Sabrangan
SMA Ipiems,-7.28600426,112.7637744,pendidikan,Mulyorejo,Manyar Sabrangan
Yayasan YAPITA,-7.28976446,112.797041,pendidikan,Sukolilo,Keputih
Sekolah YPPI - 3 Surabaya,-7.267946787,112.7954476,pendidikan,Mulyorejo,Dukuh Sutorejo
SD Wahid Hasyim 2,-7.2910187,112.7646031,pendidikan,Sukolilo,Menur Pumpungan
Vita School Dove Campus,-7.270917772,112.7784544,pendidikan,Mulyorejo,Mulyorejo
SD Bahrul Ulum,-7.307719384,112.7633993,pendidikan,Tenggilis Mejoyo,Panjang Jiwo
Al-Azhar Islamic School,-7.268145306,112.802663,pendidikan,Mulyorejo,Kalisari
MI Darul Hijroh,-7.262472302,112.761832,pendidikan,Tambaksari,Pacar Kembang
Sekolah Dasar Negeri Gubeng III - 206,-7.269413485,112.7534935,pendidikan,Gubeng,Gubeng
SD Negeri Pacar Keling X,-7.267433533,112.754024,pendidikan,Tambaksari,Pacar Keling
SD Negeri Kaliasin 6,-7.275660723,112.7398605,pendidikan,Genteng,Embong Kaliasin
Yayasan Pondok Pesantren Darussalam,-7.301619262,112.7630363,pendidikan,Sukolilo,Ngiden Jangkungan
SMP UNESA 2,-7.266600678,112.7547588,pendidikan,Tambaksari,Pacar Keling
SD Negeri Kedung Cowek II,-7.219010498,112.7780406,pendidikan,Kenjeran,Tanah Kali Kedinding
SD Negeri Kedung Cowek I,-7.218892198,112.7777409,pendidikan,Kenjeran,Tanah Kali Kedinding
SD Benteng Samudro,-7.219610779,112.7769397,pendidikan,Bulak,Kedung Cowek
SD Islam Maryam,-7.281230579,112.7614886,pendidikan,Gubeng,Kertajaya
MI Ribath Darut Tauhid,-7.22044355,112.7872038,pendidikan,Bulak,Kedung Cowek
SD Negeri Kapasari VIII,-7.250767014,112.7503139,pendidikan,Genteng,Kapasari
"SD Negeri Rangkah I, SD Negeri Rangkah IV",-7.2484632,112.7595489,pendidikan,Tambaksari,Rangkah
SD Negeri Keputran VI No. 337,-7.288116351,112.7404937,pendidikan,Tegalsari,Keputran
SMA Katolik St.Agnes,-7.257060612,112.7548119,pendidikan,Tambaksari,Pacar Keling
SMP Katolik St.Agnes,-7.2574002,112.754868,pendidikan,Tambaksari,Pacar Keling
Sekolah Anugerah Pekerti,-7.286591168,112.7453592,pendidikan,Tegalsari,Keputran
PG/TK SD SMP Anugerah Pekerti,-7.286960706,112.7449493,pendidikan,Tegalsari,Keputran
SMK 17 Agustus 1945,-7.30051305,112.7665307,pendidikan,Sukolilo,Ngiden Jangkungan
SMK 17 Agustus 1945,-7.300716115,112.7666202,pendidikan,Sukolilo,Ngiden Jangkungan
SMP 17 Agustus 1945 Surabaya,-7.298227489,112.7680597,pendidikan,Sukolilo,Menur Pumpungan
SD Negeri Kapasari V - 296,-7.251294841,112.750847,pendidikan,Genteng,Kapasari
SD Negeri Tambaksari III,-7.250824582,112.7546595,pendidikan,Tambaksari,Tambaksari
SD Negeri Ketabang 1,-7.25563146,112.7476431,pendidikan,Genteng,Ketabang
TK MI SMP Mabadie Khoiri Ummah,-7.275668966,112.7421095,pendidikan,Tegalsari,Keputran
"TK, SD, SMP Mandala",-7.249411285,112.7661634,pendidikan,Tambaksari,Rangkah
TK dan SD Petra 5,-7.290902985,112.7847925,pendidikan,Sukolilo,Keputih
SMA Tritunggal,-7.24665315,112.7656337,pendidikan,Tambaksari,Rangkah
SD Negeri Gading V & VIII,-7.240672574,112.7627278,pendidikan,Tambaksari,Kapasmadya Baru
TK dan SD Kristen Santa Anna,-7.295774954,112.7629884,pendidikan,Sukolilo,Menur Pumpungan
SMP Taruna Jaya I,-7.226931754,112.7787379,pendidikan,Kenjeran,Tanah Kali Kedinding
SMP Unggulan Bina Insana,-7.25720525,112.7569976,pendidikan,Tambaksari,Pacar Keling
SMP-SMA-SMEA Jaya Sakti,-7.252930893,112.7664061,pendidikan,Tambaksari,Ploso
SMP Negeri 54 Surabaya,-7.2275014,112.785621,pendidikan,Bulak,Bulak
SMP Muhammadiyah 9 Surabaya,-7.27280145,112.7644586,pendidikan,Gubeng,Mojo
SD Negeri Gading IV,-7.242245626,112.7711721,pendidikan,Tambaksari,Gading
TKLB SDLB Yayasan Pendidikan Anak Buta,-7.266350481,112.7360276,pendidikan,Tegalsari,Kedungdoro
SMK PGRI 4 Surabaya,-7.25585105,112.7841703,pendidikan,Mulyorejo,Kalijudan
SMA Negeri 3 Surabaya,-7.24221968,112.7900302,pendidikan,Bulak,Sukolilo Baru
Yayasan Masjid Al Mutaqien,-7.244555943,112.7902464,pendidikan,Bulak,Sukolilo Baru
SMP Negeri 18 Surabaya,-7.243105173,112.7897284,pendidikan,Bulak,Sukolilo Baru
SD Santa Lorent,-7.251122399,112.7832065,pendidikan,Mulyorejo,Kalijudan
SD Muhammadiyah 10,-7.23896095,112.7613862,pendidikan,Simokerto,Simokerto
SMA Islam Terpadu Al Uswah Surabaya,-7.306826396,112.7922846,pendidikan,Sukolilo,Medokan Semampir
SMK PGRI 6,-7.239252856,112.7646479,pendidikan,Tambaksari,Kapasmadya Baru
SD Negeri Kedungdoro V/310,-7.266338691,112.7334056,pendidikan,Tegalsari,Kedungdoro
SMP Negri 52 Surabaya,-7.30513745,112.7821542,pendidikan,Sukolilo,Medokan Semampir
SD Muhammadiyah 3,-7.247069272,112.7605388,pendidikan,Tambaksari,Rangkah
SMP Muhammadiyah 13,-7.247116,112.7607476,pendidikan,Tambaksari,Rangkah
SD Islam- MI Putra Bhakti,-7.253581504,112.762347,pendidikan,Tambaksari,Ploso
"TK, SD & SMP Islam Raden Paku Surabaya",-7.282637031,112.7754863,pendidikan,Sukolilo,Klampis Ngasem
SD Negeri Komplek Kenjeran II,-7.247379249,112.7931504,pendidikan,Bulak,Sukolilo Baru
SD Negeri Manyar Sabrangan II/231,-7.284523848,112.7680506,pendidikan,Mulyorejo,Manyar Sabrangan
TK dan SD Islam Raden Patah,-7.29881075,112.7751989,pendidikan,Sukolilo,Semolowaru
Sekolah Anak Bangsa,-7.293669325,112.7698225,pendidikan,Sukolilo,Menur Pumpungan
Surabaya Montessori School,-7.29406255,112.7698031,pendidikan,Sukolilo,Menur Pumpungan
TK-SD Pengharapan,-7.274849625,112.7287305,pendidikan,Tegalsari,Dr. Sutomo
SD-SMP-SMA Santa Maria,-7.283719435,112.7408092,pendidikan,Tegalsari,Keputran
SMP Noor Mushola,-7.25027954,112.760461,pendidikan,Tambaksari,Ploso
SD Pelita Bangsa,-7.24403587,112.7680812,pendidikan,Tambaksari,Kapasmadya Baru
Yayasan Pendidikan Anak-Anak Buta,-7.287404868,112.7845244,pendidikan,Sukolilo,Gebang Putih
SD Mabadiul Ulum,-7.28204115,112.7879636,pendidikan,Sukolilo,Gebang Putih
Yayasan Pendidikan 45 Surabaya,-7.272461209,112.7642118,pendidikan,Gubeng,Mojo
SMK Rajasa,-7.257827745,112.743179,pendidikan,Genteng,Genteng
SD Negeri Pacar Kembang IV,-7.263804866,112.7635275,pendidikan,Tambaksari,Pacar Kembang
SMP Muhammadiyah 2 Surabaya,-7.25783265,112.7414486,pendidikan,Genteng,Genteng
SMAK St. Stainlaus-SMPK St. Stainlaus 2,-7.260730941,112.7738878,pendidikan,Tambaksari,Pacar Kembang
SDK Santa Theresia II,-7.261189938,112.7739214,pendidikan,Tambaksari,Pacar Kembang
SD Negeri Pacarkembang,-7.256267455,112.7654557,pendidikan,Tambaksari,Pacar Kembang
Yayasan Mardi Putera,-7.258601453,112.7629343,pendidikan,Tambaksari,Pacar Kembang
SD Angkasa Surabaya,-7.251517936,112.7934128,pendidikan,Bulak,Sukolilo Baru
SMAK ST. Hendrikus,-7.290213698,112.7779489,pendidikan,Sukolilo,Klampis Ngasem
SMP 19 Surabaya,-7.288252276,112.7803518,pendidikan,Sukolilo,Klampis Ngasem
SD Negri Klampis Ngasem 1,-7.288586817,112.7786013,pendidikan,Sukolilo,Klampis Ngasem
SMA Muhammadiyah 10 Surabaya,-7.257884434,112.7407178,pendidikan,Genteng,Genteng
SD Ma'arif NU Wali Idris,-7.247549416,112.7677151,pendidikan,Tambaksari,Rangkah
"SD Negeri Rangkah VI, SD Negeri Rangkah VII",-7.248828212,112.7600895,pendidikan,Tambaksari,Rangkah
SD Swasta Rangkah 6,-7.246847685,112.7654889,pendidikan,Tambaksari,Rangkah
SMK Pelayaran,-7.24637507,112.7658428,pendidikan,Tambaksari,Rangkah
SMP Tritunggal,-7.246883959,112.7655456,pendidikan,Tambaksari,Rangkah
SD Negeri Manyar Sabrangan 3,-7.284914546,112.7739366,pendidikan,Sukolilo,Klampis Ngasem
SD Negeri Klampis Ngasem 3,-7.281092234,112.7714017,pendidikan,Mulyorejo,Manyar Sabrangan
SMP Kristen Petra 3 & SMA Kristen Petra 2,-7.284844864,112.7687921,pendidikan,Sukolilo,Klampis Ngasem
SD Negeri Klampis Ngasem 5,-7.28519837,112.7737783,pendidikan,Sukolilo,Klampis Ngasem
SMP & SMA Giki 3,-7.287389234,112.7755135,pendidikan,Sukolilo,Klampis Ngasem
SMP PGRI XI,-7.23893935,112.7732328,pendidikan,Tambaksari,Dukuh Setro
SD Muhammadiyah 18,-7.265314928,112.7795223,pendidikan,Mulyorejo,Mulyorejo
SMA Hidayatul Ummah,-7.264507177,112.781063,pendidikan,Mulyorejo,Mulyorejo
SMP Bunga Bangsa,-7.292253794,112.8058913,pendidikan,Sukolilo,Keputih
SD Bunga Bangsa,-7.292176947,112.8053139,pendidikan,Sukolilo,Keputih
SD Negeri Gading III,-7.247958006,112.7789489,pendidikan,Tambaksari,Gading
SD Negeri Gading 1,-7.245181083,112.7695026,pendidikan,Tambaksari,Gading
